2025-10-01 02:03:28 status half-installed libcom-err2:amd64 1.46.5-2ubuntu1
2025-10-01 02:03:28 status unpacked libcom-err2:amd64 1.46.5-2ubuntu1
2025-10-01 02:03:28 install libcrypt1:amd64 <none> 1:4.4.27-1
2025-10-01 02:03:28 status half-installed libcrypt1:amd64 1:4.4.27-1
2025-10-01 02:03:28 status unpacked libcrypt1:amd64 1:4.4.27-1
2025-10-01 02:03:28 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8ubuntu3
2025-10-01 02:03:28 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2025-10-01 02:03:28 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2025-10-01 02:03:28 install libdebconfclient0:amd64 <none> 0.261ubuntu1
2025-10-01 02:03:28 status half-installed libdebconfclient0:amd64 0.261ubuntu1
2025-10-01 02:03:28 status unpacked libdebconfclient0:amd64 0.261ubuntu1
2025-10-01 02:03:28 install libext2fs2:amd64 <none> 1.46.5-2ubuntu1
2025-10-01 02:03:28 status half-installed libext2fs2:amd64 1.46.5-2ubuntu1
2025-10-01 02:03:28 status unpacked libext2fs2:amd64 1.46.5-2ubuntu1
2025-10-01 02:03:28 install libgcc-s1:amd64 <none> 12-20220319-1ubuntu1
2025-10-01 02:03:28 status half-installed libgcc-s1:amd64 12-20220319-1ubuntu1
2025-10-01 02:03:28 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2025-10-01 02:03:28 install libgcrypt20:amd64 <none> 1.9.4-3ubuntu3
2025-10-01 02:03:28 status half-installed libgcrypt20:amd64 1.9.4-3ubuntu3
2025-10-01 02:03:28 status unpacked libgcrypt20:amd64 1.9.4-3ubuntu3
2025-10-01 02:03:28 install libgmp10:amd64 <none> 2:6.2.1+dfsg-3ubuntu1
2025-10-01 02:03:28 status half-installed libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2025-10-01 02:03:28 status unpacked libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2025-10-01 02:03:28 install libgpg-error0:amd64 <none> 1.43-3
2025-10-01 02:03:28 status half-installed libgpg-error0:amd64 1.43-3
2025-10-01 02:03:29 status unpacked libgpg-error0:amd64 1.43-3
2025-10-01 02:03:29 install libgssapi-krb5-2:amd64 <none> 1.19.2-2
2025-10-01 02:03:29 status half-installed libgssapi-krb5-2:amd64 1.19.2-2
2025-10-01 02:03:29 status unpacked libgssapi-krb5-2:amd64 1.19.2-2
2025-10-01 02:03:29 install libk5crypto3:amd64 <none> 1.19.2-2
2025-10-01 02:03:29 status half-installed libk5crypto3:amd64 1.19.2-2
2025-10-01 02:03:29 status unpacked libk5crypto3:amd64 1.19.2-2
2025-10-01 02:03:29 install libkeyutils1:amd64 <none> 1.6.1-2ubuntu3
2025-10-01 02:03:29 status half-installed libkeyutils1:amd64 1.6.1-2ubuntu3
2025-10-01 02:03:29 status unpacked libkeyutils1:amd64 1.6.1-2ubuntu3
2025-10-01 02:03:29 install libkrb5-3:amd64 <none> 1.19.2-2
2025-10-01 02:03:29 status half-installed libkrb5-3:amd64 1.19.2-2
2025-10-01 02:03:29 status unpacked libkrb5-3:amd64 1.19.2-2
2025-10-01 02:03:29 install libkrb5support0:amd64 <none> 1.19.2-2
2025-10-01 02:03:29 status half-installed libkrb5support0:amd64 1.19.2-2
2025-10-01 02:03:29 status unpacked libkrb5support0:amd64 1.19.2-2
2025-10-01 02:03:29 install liblz4-1:amd64 <none> 1.9.3-2build2
2025-10-01 02:03:29 status half-installed liblz4-1:amd64 1.9.3-2build2
2025-10-01 02:03:29 status unpacked liblz4-1:amd64 1.9.3-2build2
2025-10-01 02:03:29 install liblzma5:amd64 <none> 5.2.5-2ubuntu1
2025-10-01 02:03:29 status half-installed liblzma5:amd64 5.2.5-2ubuntu1
2025-10-01 02:03:29 status unpacked liblzma5:amd64 5.2.5-2ubuntu1
2025-10-01 02:03:29 install libmount1:amd64 <none> 2.37.2-4ubuntu3
2025-10-01 02:03:29 status half-installed libmount1:amd64 2.37.2-4ubuntu3
2025-10-01 02:03:29 status unpacked libmount1:amd64 2.37.2-4ubuntu3
2025-10-01 02:03:29 install libncurses6:amd64 <none> 6.3-2
2025-10-01 02:03:29 status half-installed libncurses6:amd64 6.3-2
2025-10-01 02:03:29 status unpacked libncurses6:amd64 6.3-2
